id,item_name,category,color,size,gender,season,price,material
66,Urban Jacket,Jacket,Grey,M,Male,Spring,PKR 8105,Wool
67,Elegant Heels,Heels,Brown,,Unisex,Winter,PKR 5142,Silk
68,Urban Hoodie,Hoodie,Red,L,Female,Summer,PKR 7532,Wool
69,Zip Jeans,Jeans,Red,L,Male,Autumn,PKR 2414,Polyester
70,Graphic Heels,Heels,Blue,,Male,Winter,PKR 2577,Leather
71,Sporty Crop Top,Crop Top,Grey,S,Female,Spring,PKR 7608,Linen
72,Mini Hoodie,Hoodie,Beige,XS,Female,Winter,PKR 6482,Leather
73,Urban Boots,Boots,Red,L,Unisex,Summer,PKR 7580,Nylon
74,Zip Heels,Heels,Grey,,Male,Spring,PKR 6196,Silk
75,Elegant Jacket,Jacket,Blue,M,Unisex,Summer,PKR 3110,Linen
76,Casual Jeans,Jeans,Blue,XS,Unisex,Winter,PKR 6142,Nylon
77,Elegant Hoodie,Hoodie,Grey,M,Male,Winter,PKR 4662,Polyester
78,Floral Hoodie,Hoodie,Black,S,Unisex,Spring,PKR 7179,Leather
79,Relaxed Boots,Boots,Yellow,XL,Unisex,Winter,PKR 3642,Denim
80,Graphic Sneakers,Sneakers,Blue,XS,Unisex,Summer,PKR 5447,Leather
81,Floral Shorts,Shorts,Pink,XS,Female,Autumn,PKR 2327,Linen
82,Relaxed Jeans,Jeans,Brown,XS,Female,Spring,PKR 5948,Cotton
83,Relaxed Hoodie,Hoodie,Red,L,Male,Spring,PKR 3469,Linen
84,Sporty Jacket,Jacket,Red,XS,Female,Winter,PKR 4801,Linen
85,Classic Hoodie,Hoodie,Black,S,Male,Spring,PKR 8812,Linen
86,Floral Heels,Heels,Beige,,Male,Spring,PKR 4925,Cotton
87,Zip Jacket,Jacket,Blue,M,Unisex,Autumn,PKR 4264,Linen
88,Mini Shorts,Shorts,Blue,S,Female,Autumn,PKR 3652,Cotton
89,Elegant Crop Top,Crop Top,Blue,S,Male,Spring,PKR 7255,Silk
90,Urban Hoodie,Hoodie,Pink,XL,Male,Winter,PKR 4147,Cotton
91,Mini Jacket,Jacket,Blue,XL,Female,Summer,PKR 6169,Nylon
92,Relaxed Handbag,Handbag,Grey,,Unisex,Summer,PKR 6709,Denim
93,Zip Hoodie,Hoodie,Black,L,Unisex,Spring,PKR 1793,Nylon
94,Sporty Boots,Boots,Black,XL,Female,Spring,PKR 7246,Wool
95,Graphic Heels,Heels,Beige,,Unisex,Summer,PKR 8152,Silk
96,Classic Crop Top,Crop Top,Blue,XL,Unisex,Summer,PKR 2653,Wool
97,Zip Jacket,Jacket,Brown,L,Unisex,Winter,PKR 8945,Linen
98,Classic Boots,Boots,Pink,XS,Unisex,Spring,PKR 7121,Denim
99,Casual Jacket,Jacket,Black,XL,Unisex,Winter,PKR 3309,Cotton
100,Urban Boots,Boots,Blue,M,Unisex,Summer,PKR 1454,Silk
101,Elegant Jacket,Jacket,Beige,L,Unisex,Summer,PKR 5220,Polyester
102,Graphic Jacket,Jacket,Green,XS,Female,Winter,PKR 2043,Silk
103,Mini Skirt,Skirt,White,M,Unisex,Autumn,PKR 6807,Leather
104,Elegant Skirt,Skirt,Green,XL,Male,Summer,PKR 6192,Wool
105,Relaxed Sneakers,Sneakers,Grey,L,Female,Autumn,PKR 8637,Cotton
106,Relaxed Heels,Heels,Black,,Female,Summer,PKR 7892,Linen
107,Floral Shorts,Shorts,Pink,M,Unisex,Autumn,PKR 5061,Denim
108,Casual Jacket,Jacket,Grey,XS,Male,Spring,PKR 6661,Silk
109,Sporty Skirt,Skirt,Grey,M,Male,Spring,PKR 6433,Wool
110,Floral Skirt,Skirt,Yellow,XL,Female,Winter,PKR 5215,Cotton
111,Elegant Sneakers,Sneakers,Blue,XL,Female,Winter,PKR 4366,Linen
112,Relaxed Sneakers,Sneakers,Blue,S,Male,Winter,PKR 5896,Polyester
113,Mini Sneakers,Sneakers,Pink,L,Male,Autumn,PKR 3635,Silk
114,Relaxed Hoodie,Hoodie,White,M,Unisex,Spring,PKR 5423,Wool
115,Graphic Boots,Boots,Blue,S,Unisex,Winter,PKR 1845,Denim
116,Relaxed Heels,Heels,Blue,,Unisex,Summer,PKR 4834,Denim
117,Urban Shorts,Shorts,Yellow,M,Female,Winter,PKR 3437,Cotton
118,Mini Jacket,Jacket,Blue,L,Male,Winter,PKR 3306,Linen
119,Floral Crop Top,Crop Top,Black,M,Unisex,Autumn,PKR 1834,Denim
120,Zip Crop Top,Crop Top,Pink,L,Unisex,Spring,PKR 4684,Polyester
121,Graphic Boots,Boots,Green,L,Unisex,Spring,PKR 6864,Cotton
122,Casual Jacket,Jacket,Black,L,Unisex,Summer,PKR 8335,Polyester
123,Urban Jacket,Jacket,Beige,S,Male,Autumn,PKR 4567,Leather
124,Casual Hoodie,Hoodie,Yellow,XL,Male,Spring,PKR 5299,Silk
125,Mini Boots,Boots,Black,L,Male,Summer,PKR 7291,Leather
126,Classic Boots,Boots,Green,XL,Unisex,Autumn,PKR 4925,Cotton
127,Zip Sneakers,Sneakers,Yellow,M,Female,Winter,PKR 1314,Denim
128,Relaxed Heels,Heels,Yellow,,Unisex,Summer,PKR 3765,Leather
129,Relaxed Sneakers,Sneakers,Red,M,Female,Winter,PKR 1433,Polyester
130,Zip Hoodie,Hoodie,White,M,Female,Spring,PKR 5182,Denim
131,Graphic Shorts,Shorts,Yellow,M,Unisex,Spring,PKR 8247,Leather
132,Sporty Jacket,Jacket,Grey,XL,Female,Autumn,PKR 7967,Cotton
133,Zip Handbag,Handbag,Blue,,Female,Summer,PKR 6713,Linen
134,Relaxed Jeans,Jeans,White,XS,Male,Autumn,PKR 2701,Linen
135,Floral Hoodie,Hoodie,Grey,S,Male,Summer,PKR 1810,Cotton
136,Casual Boots,Boots,Beige,M,Female,Spring,PKR 3737,Cotton
137,Graphic Boots,Boots,Red,XS,Female,Summer,PKR 4728,Denim
138,Relaxed Jacket,Jacket,Beige,L,Unisex,Spring,PKR 7541,Polyester
139,Zip Skirt,Skirt,Grey,S,Unisex,Winter,PKR 8733,Cotton
140,Sporty Skirt,Skirt,Black,XL,Female,Summer,PKR 5405,Wool
141,Urban Shorts,Shorts,Black,M,Unisex,Winter,PKR 7227,Denim
142,Zip Jeans,Jeans,Yellow,XL,Female,Winter,PKR 6275,Wool
143,Sporty Crop Top,Crop Top,Grey,XS,Unisex,Summer,PKR 3039,Leather
144,Sporty Hoodie,Hoodie,White,S,Female,Summer,PKR 7611,Cotton
145,Relaxed Shorts,Shorts,White,L,Female,Spring,PKR 7779,Silk
146,Floral Sneakers,Sneakers,Black,S,Male,Autumn,PKR 7838,Polyester
147,Mini Crop Top,Crop Top,Black,S,Male,Spring,PKR 7752,Wool
148,Floral Jeans,Jeans,Beige,L,Female,Autumn,PKR 1816,Silk
149,Mini Handbag,Handbag,White,,Male,Winter,PKR 4865,Linen
150,Graphic Crop Top,Crop Top,Black,M,Unisex,Winter,PKR 4964,Leather
151,Mini Boots,Boots,Red,L,Female,Winter,PKR 1465,Wool
152,Graphic Hoodie,Hoodie,Pink,M,Unisex,Spring,PKR 6769,Denim
153,Casual Hoodie,Hoodie,Brown,XS,Male,Summer,PKR 7697,Cotton
154,Mini Hoodie,Hoodie,Pink,L,Female,Winter,PKR 7779,Leather
155,Sporty Hoodie,Hoodie,White,XS,Unisex,Winter,PKR 4174,Nylon
156,Zip Hoodie,Hoodie,Yellow,L,Unisex,Winter,PKR 5924,Linen
157,Relaxed Jacket,Jacket,Blue,L,Male,Autumn,PKR 5742,Silk
158,Zip Heels,Heels,Yellow,,Female,Spring,PKR 3541,Leather
159,Elegant Shorts,Shorts,Yellow,XL,Unisex,Summer,PKR 8729,Polyester
160,Urban Boots,Boots,Grey,XS,Unisex,Winter,PKR 5027,Cotton
161,Graphic Sneakers,Sneakers,White,M,Male,Autumn,PKR 1425,Linen
162,Casual Jeans,Jeans,Blue,L,Unisex,Summer,PKR 8500,Cotton
163,Elegant Hoodie,Hoodie,Blue,XS,Male,Autumn,PKR 3951,Denim
164,Sporty Hoodie,Hoodie,Brown,XS,Female,Spring,PKR 3928,Polyester
165,Graphic Hoodie,Hoodie,Brown,L,Female,Winter,PKR 6463,Cotton
166,Elegant Jeans,Jeans,Grey,XS,Unisex,Winter,PKR 6214,Denim
167,Elegant Crop Top,Crop Top,Grey,S,Unisex,Winter,PKR 2414,Denim
168,Floral Crop Top,Crop Top,Black,S,Female,Summer,PKR 5090,Wool
169,Elegant Heels,Heels,Green,,Unisex,Summer,PKR 2035,Cotton
170,Elegant Jacket,Jacket,Beige,XL,Female,Autumn,PKR 7530,Leather
171,Floral Crop Top,Crop Top,Beige,XL,Female,Summer,PKR 6011,Nylon
172,Floral Jacket,Jacket,Red,M,Male,Summer,PKR 6922,Cotton
173,Elegant Jacket,Jacket,White,L,Unisex,Spring,PKR 1606,Wool
174,Mini Hoodie,Hoodie,Green,L,Female,Spring,PKR 5077,Denim
175,Mini Crop Top,Crop Top,Yellow,XS,Male,Summer,PKR 8409,Leather
176,Sporty Hoodie,Hoodie,Yellow,M,Female,Autumn,PKR 3557,Cotton
177,Elegant Handbag,Handbag,Red,,Male,Summer,PKR 6856,Wool
178,Elegant Crop Top,Crop Top,Beige,S,Unisex,Summer,PKR 2623,Silk
179,Elegant Heels,Heels,Black,,Male,Autumn,PKR 1363,Cotton
180,Urban Sneakers,Sneakers,Red,L,Male,Summer,PKR 8196,Cotton
181,Casual Sneakers,Sneakers,Red,XL,Male,Winter,PKR 7014,Linen
182,Floral Heels,Heels,Yellow,,Unisex,Summer,PKR 8385,Wool
183,Classic Jeans,Jeans,Beige,XL,Female,Autumn,PKR 1348,Wool
184,Relaxed Jacket,Jacket,Beige,XS,Male,Spring,PKR 3245,Polyester
185,Graphic Boots,Boots,Pink,M,Male,Autumn,PKR 7136,Wool
186,Elegant Shorts,Shorts,White,M,Male,Winter,PKR 8269,Nylon
187,Sporty Heels,Heels,Grey,,Female,Winter,PKR 7792,Leather
188,Relaxed Sneakers,Sneakers,Grey,L,Unisex,Winter,PKR 4280,Cotton
189,Casual Shorts,Shorts,Green,S,Male,Winter,PKR 6478,Nylon
190,Zip Sneakers,Sneakers,Black,M,Unisex,Summer,PKR 4025,Polyester
191,Mini Handbag,Handbag,Green,,Female,Spring,PKR 2414,Polyester
192,Graphic Skirt,Skirt,Brown,XS,Unisex,Spring,PKR 6166,Cotton
193,Sporty Skirt,Skirt,Grey,M,Unisex,Autumn,PKR 1777,Denim
194,Zip Jacket,Jacket,Black,XL,Unisex,Winter,PKR 4126,Cotton
195,Elegant Jeans,Jeans,Red,XL,Male,Spring,PKR 5373,Leather
196,Relaxed Jacket,Jacket,Black,L,Female,Summer,PKR 7100,Linen
197,Relaxed Boots,Boots,Grey,S,Female,Spring,PKR 6499,Nylon
198,Floral Heels,Heels,Brown,,Unisex,Spring,PKR 3568,Polyester
199,Sporty Crop Top,Crop Top,Blue,L,Unisex,Winter,PKR 5073,Nylon
200,Zip Heels,Heels,Red,,Unisex,Autumn,PKR 6582,Linen
201,Casual Skirt,Skirt,White,S,Male,Spring,PKR 5604,Denim
202,Urban Hoodie,Hoodie,Brown,M,Female,Spring,PKR 4125,Cotton
203,Urban Heels,Heels,Brown,,Unisex,Spring,PKR 8379,Silk
204,Classic Crop Top,Crop Top,Green,XL,Unisex,Spring,PKR 8395,Denim
205,Mini Shorts,Shorts,Yellow,M,Male,Spring,PKR 1784,Silk
206,Classic Boots,Boots,Red,S,Unisex,Winter,PKR 1327,Silk
207,Graphic Handbag,Handbag,Grey,,Female,Winter,PKR 3044,Cotton
208,Zip Skirt,Skirt,Green,L,Unisex,Summer,PKR 5378,Cotton
209,Urban Heels,Heels,Grey,,Unisex,Winter,PKR 2815,Nylon
210,Zip Crop Top,Crop Top,Grey,M,Male,Spring,PKR 4065,Wool
211,Urban Skirt,Skirt,Brown,L,Female,Winter,PKR 5752,Linen
212,Relaxed Shorts,Shorts,Black,XS,Female,Summer,PKR 6753,Cotton
213,Elegant Sneakers,Sneakers,Brown,M,Female,Spring,PKR 2796,Silk
214,Sporty Sneakers,Sneakers,White,L,Unisex,Autumn,PKR 5450,Leather
215,Graphic Boots,Boots,Grey,L,Female,Winter,PKR 3379,Denim
216,Relaxed Hoodie,Hoodie,Pink,S,Male,Spring,PKR 6718,Wool
217,Sporty Heels,Heels,Pink,,Unisex,Winter,PKR 2467,Leather
218,Casual Shorts,Shorts,Yellow,XS,Unisex,Autumn,PKR 5422,Wool
219,Relaxed Crop Top,Crop Top,Yellow,M,Female,Summer,PKR 5533,Cotton
220,Floral Handbag,Handbag,Yellow,,Female,Spring,PKR 1554,Leather
221,Relaxed Sneakers,Sneakers,Black,M,Unisex,Autumn,PKR 4121,Nylon
222,Mini Shorts,Shorts,White,S,Female,Winter,PKR 3552,Silk
223,Casual Jeans,Jeans,Grey,XS,Female,Winter,PKR 6975,Cotton
224,Sporty Jeans,Jeans,Grey,XS,Male,Summer,PKR 1243,Cotton
225,Classic Boots,Boots,Brown,L,Male,Spring,PKR 2894,Polyester
226,Elegant Sneakers,Sneakers,Grey,XL,Male,Autumn,PKR 3628,Leather
227,Floral Handbag,Handbag,Green,,Male,Spring,PKR 5953,Silk
228,Classic Skirt,Skirt,Blue,S,Male,Autumn,PKR 4700,Linen
229,Urban Handbag,Handbag,Brown,,Male,Spring,PKR 4327,Cotton
230,Relaxed Shorts,Shorts,Yellow,XS,Male,Spring,PKR 1669,Wool
231,Relaxed Boots,Boots,Pink,XL,Unisex,Summer,PKR 7923,Nylon
232,Mini Hoodie,Hoodie,Black,M,Unisex,Spring,PKR 8237,Linen
233,Urban Crop Top,Crop Top,Red,S,Unisex,Summer,PKR 8593,Wool
234,Elegant Jeans,Jeans,Beige,XS,Female,Autumn,PKR 2180,Silk
235,Urban Heels,Heels,Black,,Female,Spring,PKR 1743,Polyester
236,Floral Crop Top,Crop Top,Brown,XL,Unisex,Summer,PKR 1836,Wool
237,Casual Crop Top,Crop Top,White,M,Female,Summer,PKR 6926,Denim
238,Elegant Skirt,Skirt,Yellow,XS,Female,Winter,PKR 6839,Leather
239,Urban Sneakers,Sneakers,White,M,Male,Spring,PKR 2377,Wool
240,Graphic Skirt,Skirt,Grey,S,Female,Autumn,PKR 7866,Polyester
241,Mini Sneakers,Sneakers,Beige,S,Female,Autumn,PKR 2367,Denim
242,Relaxed Jeans,Jeans,Pink,L,Unisex,Winter,PKR 6793,Silk
243,Graphic Sneakers,Sneakers,Brown,L,Unisex,Summer,PKR 1244,Leather
244,Elegant Jeans,Jeans,Green,S,Male,Spring,PKR 4339,Leather
245,Graphic Skirt,Skirt,White,XS,Unisex,Spring,PKR 5028,Nylon
246,Zip Boots,Boots,Brown,XL,Male,Winter,PKR 3039,Wool
247,Sporty Hoodie,Hoodie,Brown,S,Female,Autumn,PKR 7055,Denim
248,Graphic Sneakers,Sneakers,Yellow,XS,Unisex,Summer,PKR 7099,Leather
249,Relaxed Jacket,Jacket,Red,S,Unisex,Spring,PKR 6645,Denim
250,Casual Skirt,Skirt,Brown,M,Female,Autumn,PKR 2671,Silk
251,Sporty Hoodie,Hoodie,Blue,M,Male,Spring,PKR 6555,Silk
252,Casual Skirt,Skirt,Pink,XL,Male,Spring,PKR 3149,Denim
253,Graphic Skirt,Skirt,Brown,M,Male,Winter,PKR 4782,Denim
254,Urban Shorts,Shorts,Green,XL,Female,Autumn,PKR 7081,Nylon
255,Elegant Boots,Boots,Red,XL,Male,Summer,PKR 4042,Wool
256,Elegant Shorts,Shorts,Beige,S,Unisex,Winter,PKR 5751,Linen
257,Sporty Heels,Heels,Pink,,Male,Spring,PKR 5856,Polyester
258,Sporty Sneakers,Sneakers,Green,M,Female,Winter,PKR 6780,Wool
259,Urban Heels,Heels,Beige,,Female,Winter,PKR 8203,Denim
260,Classic Boots,Boots,Red,M,Male,Spring,PKR 1998,Linen
261,Sporty Jacket,Jacket,Blue,L,Male,Spring,PKR 4375,Leather
262,Floral Jacket,Jacket,Grey,XS,Male,Spring,PKR 7830,Cotton
263,Relaxed Handbag,Handbag,Grey,,Male,Autumn,PKR 3221,Cotton
264,Elegant Shorts,Shorts,Yellow,L,Female,Autumn,PKR 1391,Cotton
265,Graphic Shorts,Shorts,Grey,M,Unisex,Autumn,PKR 2388,Silk
266,Classic Crop Top,Crop Top,Brown,M,Unisex,Winter,PKR 4733,Silk
267,Zip Jacket,Jacket,Green,M,Unisex,Autumn,PKR 4630,Polyester
268,Urban Sneakers,Sneakers,Red,XS,Female,Autumn,PKR 1208,Leather
269,Graphic Crop Top,Crop Top,Beige,XS,Unisex,Spring,PKR 1453,Nylon
270,Casual Jeans,Jeans,Black,S,Unisex,Spring,PKR 5506,Linen
271,Casual Heels,Heels,White,,Unisex,Winter,PKR 2137,Denim
272,Classic Crop Top,Crop Top,Grey,M,Unisex,Winter,PKR 5383,Cotton
273,Urban Hoodie,Hoodie,White,XS,Female,Summer,PKR 7096,Wool
274,Zip Shorts,Shorts,Green,XL,Male,Winter,PKR 6698,Silk
275,Sporty Handbag,Handbag,Black,,Male,Spring,PKR 3429,Denim
276,Sporty Jacket,Jacket,Yellow,XS,Unisex,Autumn,PKR 5511,Polyester
277,Urban Hoodie,Hoodie,White,XS,Female,Spring,PKR 4861,Denim
278,Mini Handbag,Handbag,Yellow,,Male,Spring,PKR 3152,Wool
279,Sporty Heels,Heels,Pink,,Unisex,Autumn,PKR 8831,Linen
280,Graphic Jacket,Jacket,Yellow,M,Female,Summer,PKR 4401,Linen
281,Classic Handbag,Handbag,Grey,,Female,Winter,PKR 7390,Denim
282,Graphic Handbag,Handbag,Brown,,Female,Autumn,PKR 7002,Cotton
283,Casual Hoodie,Hoodie,Red,L,Female,Summer,PKR 8700,Polyester
284,Floral Jacket,Jacket,Black,XS,Female,Autumn,PKR 7965,Wool
285,Graphic Jacket,Jacket,Pink,XS,Female,Summer,PKR 2717,Nylon
286,Relaxed Sneakers,Sneakers,Red,XS,Male,Winter,PKR 7324,Silk
287,Zip Jacket,Jacket,Beige,S,Male,Summer,PKR 8842,Linen
288,Casual Sneakers,Sneakers,Green,XS,Male,Winter,PKR 2066,Leather
289,Urban Shorts,Shorts,Red,S,Male,Winter,PKR 6655,Denim
290,Mini Sneakers,Sneakers,Black,M,Male,Summer,PKR 5577,Denim
291,Graphic Heels,Heels,Green,,Male,Winter,PKR 7990,Leather
292,Casual Heels,Heels,Yellow,,Unisex,Summer,PKR 7511,Wool
293,Relaxed Jeans,Jeans,Green,M,Female,Summer,PKR 2612,Wool
294,Elegant Heels,Heels,Beige,,Male,Autumn,PKR 5651,Nylon
295,Elegant Heels,Heels,Yellow,,Male,Winter,PKR 1306,Cotton
296,Classic Jeans,Jeans,Green,L,Unisex,Autumn,PKR 4774,Leather
297,Casual Boots,Boots,Green,L,Female,Spring,PKR 2317,Silk
298,Classic Jeans,Jeans,Black,XS,Male,Autumn,PKR 5011,Silk
299,Zip Crop Top,Crop Top,White,M,Male,Autumn,PKR 5832,Denim
300,Elegant Handbag,Handbag,Black,,Unisex,Spring,PKR 6258,Cotton
301,Graphic Crop Top,Crop Top,Black,XL,Unisex,Winter,PKR 3176,Cotton
302,Mini Hoodie,Hoodie,Red,L,Unisex,Autumn,PKR 2989,Wool
303,Casual Shorts,Shorts,Green,L,Male,Summer,PKR 3505,Denim
304,Urban Boots,Boots,Yellow,S,Male,Winter,PKR 3967,Silk
305,Elegant Crop Top,Crop Top,Pink,S,Unisex,Spring,PKR 1288,Silk
306,Floral Boots,Boots,Red,S,Female,Spring,PKR 5149,Polyester
307,Zip Heels,Heels,Beige,,Female,Autumn,PKR 5667,Wool
308,Zip Sneakers,Sneakers,Pink,M,Unisex,Autumn,PKR 4237,Wool
309,Zip Heels,Heels,Red,,Female,Spring,PKR 7427,Wool
310,Classic Shorts,Shorts,Black,XL,Unisex,Winter,PKR 2757,Denim
311,Zip Heels,Heels,Blue,,Female,Winter,PKR 4555,Leather
312,Urban Boots,Boots,Yellow,M,Male,Spring,PKR 5211,Nylon
313,Relaxed Sneakers,Sneakers,Yellow,L,Female,Autumn,PKR 7675,Silk
314,Relaxed Boots,Boots,Brown,S,Male,Winter,PKR 8047,Polyester
315,Classic Handbag,Handbag,Beige,,Male,Autumn,PKR 6828,Linen
316,Relaxed Shorts,Shorts,Black,M,Male,Autumn,PKR 5941,Polyester
317,Mini Jeans,Jeans,Grey,XL,Unisex,Summer,PKR 7646,Silk
318,Sporty Heels,Heels,Brown,,Female,Spring,PKR 4844,Cotton
319,Elegant Crop Top,Crop Top,White,XL,Female,Winter,PKR 3053,Leather
320,Urban Hoodie,Hoodie,Pink,XL,Unisex,Winter,PKR 5793,Silk
321,Urban Skirt,Skirt,Green,S,Male,Spring,PKR 2449,Polyester
322,Floral Skirt,Skirt,Green,L,Unisex,Spring,PKR 4135,Silk
323,Graphic Shorts,Shorts,Black,XS,Male,Autumn,PKR 1414,Denim
324,Sporty Skirt,Skirt,Black,S,Female,Spring,PKR 4717,Linen
325,Sporty Skirt,Skirt,Beige,S,Unisex,Summer,PKR 1765,Nylon
326,Casual Crop Top,Crop Top,Beige,L,Male,Summer,PKR 3833,Cotton
327,Mini Shorts,Shorts,Red,M,Male,Spring,PKR 8516,Denim
328,Graphic Skirt,Skirt,Black,L,Male,Spring,PKR 7714,Silk
329,Floral Skirt,Skirt,Blue,L,Unisex,Summer,PKR 6722,Cotton
330,Graphic Handbag,Handbag,Blue,,Male,Winter,PKR 4370,Cotton
331,Mini Shorts,Shorts,Black,XS,Unisex,Winter,PKR 7297,Leather
332,Classic Sneakers,Sneakers,Red,S,Male,Autumn,PKR 6964,Nylon
333,Graphic Handbag,Handbag,Black,,Unisex,Winter,PKR 8382,Leather
334,Zip Skirt,Skirt,Red,M,Male,Winter,PKR 4781,Linen
335,Zip Handbag,Handbag,Grey,,Unisex,Spring,PKR 3450,Cotton
336,Elegant Hoodie,Hoodie,Beige,XL,Unisex,Autumn,PKR 1354,Silk
337,Elegant Jacket,Jacket,White,S,Unisex,Autumn,PKR 6254,Denim
338,Graphic Hoodie,Hoodie,Red,XL,Unisex,Summer,PKR 4932,Nylon
339,Elegant Heels,Heels,White,,Female,Winter,PKR 6203,Silk
340,Urban Jeans,Jeans,Black,S,Female,Spring,PKR 1978,Linen
341,Elegant Shorts,Shorts,White,XL,Female,Autumn,PKR 5547,Polyester
